PortalID,Status,LastUpdated,AgencyDept,Title,Type,LOI,Categories,Purpose,Description,ApplicantType,FundingSource,MatchingFunds,EstAvailFunds,FundingMethod,OpenDate,ApplicationDeadline,ExpAwardDate,GrantURL,MaxAwards,MinAwards,MaxAmounts,MinAmounts,IsOngoing
11654,active,2022-07-08 21:36:49,Governor's Office of Emergency Services,2022-23 Domestic Violence Assistance (DV) Program RFP,Grant,No,"Consumer Protection; Health & Human Services; Housing, Community and Economic Development; Law, Justice, and Legal Services","The DV Program provides local assistance for comprehensive support services for existing domestic violence providers throughout California, including emergency shelter to victims/survivors of domestic violence and their children.","Per Penal Code § 132823.15-13823.16, all Subrecipients must provide access to emergency shelter and the supportive services, listed under the Program Components.  Support is also provided for the maintenance and further development of domestic violence services to unserved and underserviced populations, including but not limited to, rural areas, non-English speaking individuals, persons of color, and geographical areas without services.  The DV Program provides local assistance for comprehensive support services to existing domestic violence providers throughout California, including emergency shelter to victims/survivors of domestic violence and their children.",Nonprofit; Public Agency; Tribal Government,Federal and State,20%,537587.0,Advances & Reimbursement(s),2022-07-08 15:00:00,2022-08-26 23:59:00,09/30/2022,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=DV,,,,,1
11588,active,2022-07-06 23:23:49,Governor's Office of Emergency Services,2022-23 Supervised Visitation (SP) Program RFP,Grant,No,Consumer Protection; Disadvantaged Communities; Health & Human Services,"The purpose of the SP Program is to assure the safety and protection of children by supporting professional providers who supervise visitation of children with a noncustodial party where there is a history or allegations of domestic violence, child abuse or neglect, or sexual abuse.","In 1997, the Judicial Council of California approved standards of practice for providers of supervised visitation. Standard 5.20 of the California Standards of Judicial Administration (Uniform Standards of Practice for Providers of Supervised Visitation) defines supervised visitation as contact between a non-custodial party and one or more children in the presence of a neutral third person.",Nonprofit; Public Agency,Federal,20%,2622788.0,Reimbursement(s),2022-07-07 00:00:00,2023-02-01 23:59:00,03/01/23,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=SP,,,201000.0,1.0,1
11552,active,2022-07-05 21:58:28,Department of Parks and Recreation,Division of Boating and Waterways Local Assistance Pumpout/Dump Station Installation Grant FY22,Grant,No,Environment & Water; Parks & Recreation,Provide resources for keeping boater sewage from California waterways.,The Pumpout Facility Grant Program funds the construction of pumpout and dump stations on California's waterways.,Business; Individual; Nonprofit; Public Agency; Tribal Government,Federal,25%,540750.0,Reimbursement(s),2022-07-05 07:00:00,2023-06-30 00:00:00,As needed,http://dbw.parks.ca.gov/?page_id=28820,21.0,21.0,,,1
11549,active,2022-07-05 21:56:49,Department of Parks and Recreation,Division of Boating and Waterways Local Assistance Pumpout/Dump Station/Floating Restroom Operation and Maintenance Grant FY22,Grant,No,Environment & Water; Parks & Recreation,Provide resources for keeping boater sewage from California waterways.,The Pumpout Facility Grant Program funds the operation and maintenance of pumpout and dump stations on California's waterways.,Business; Individual; Nonprofit; Public Agency; Tribal Government,Federal,25%,36000.0,Reimbursement(s),2022-07-05 07:00:00,2023-06-30 00:00:00,As needed,http://dbw.parks.ca.gov/?page_id=28820,,,,,1
1923,active,2022-07-01 18:07:28,Coachella Valley Mountains Conservancy,Coachella Valley Mountains Conservancy Proposition 1 Grant Program,Grant,Yes,Environment & Water,Implement the California Water Action Plan in the Coachella Valley and its watersheds.,"Grants are awarded for projects that fulfill one or more of the statutory objectives of Proposition 1 and complies with the General Obligation Bond Law. Three categories of projects are specifically preferred : (a) acquisition projects involving the purchase of land for conservation that implements the key objectives of the California Water Action Plan, (b) watershed restoration projects associated with the enhancement of watershed-related natural features, such as washes, channels, streams or riverbeds, and (c) infrastructure projects related to the improvement of water management structures to complement surrounding habitat values.  Awards are made through a competitive process initiated by periodic Notices of Funding Availability (NOFA), which typically are issued once or twice a year.  This NOFA was released on July 1, 2022.   To respond to the  the NOFA, a short preliminary application form, available from the Conservancy, must be submitted, and thereafter the applicant must participate in a pre application consultation with Conservancy staff.  After that, the application can be submitted for review by the Conservancy's independent review panel and ultimately consideration by the Conservancy board.  Further details on the application procedure can be found in the Proposition 1 Guidelines on the Conservancy's website. ",Nonprofit; Public Agency; Tribal Government,State,Not Required,1945000.0,Reimbursement(s),2022-07-01 07:00:00,2022-09-15 00:00:00,November 2022,https://www.cvmc.ca.gov,,,,,1
10514,active,2022-06-28 00:20:52,Department of Resources Recycling and Recovery,Farm & Ranch Solid Waste Cleanup and Abatement Grant Program,Grant,Yes,Agriculture; Disadvantaged Communities; Environment & Water,"Provides funding to help cleanup and prevent illegal dumping on 'farm and/or ranch' property, as defined in California Code of Regulations (CCR), Section 17991(d). Usually three application cycles are available each fiscal year; this is the second cycle. CalRecycle offers this Program pursuant to Section 48100 of the Public Resources Code (PRC).","Project sites shall be located on 'farm and ranch' property (both private and public land are eligible), where the owner is not responsible for the illegal disposal. 'Farm and ranch' property is defined in the Eligible Geographies section below.  Grantees have approximately two years to complete the project(s). Sites shall be fully remediated (cleaned up) with grant funds, or a combination of grant funds and in-kind funds/services. Funding includes reimbursement for Administrative, Recycling/Disposal (tires), Equipment, Material, and Personnel costs. Abatement/prevention measures shall be addressed if needed, such as site security and public education/outreach efforts. Innovation is encouraged.  See the Notice of Funds Available FY22-23 webpage for additional information and requirements (specifically, refer to the Application Guidelines and Instructions and Procedures and Requirements resource documents).  Sites that have been previously remediated, homeless encampments, and illegal cannabis grows may also be eligible.  The application usually entails the follow items for each project/site: Budget, Land Use/Zoning Designation, photos, Property Affidavit, a Site Characterization, map, Work Plan, and Resolution. The Resolution is conducted through the applicant's governing body (more info available).  Multiple projects/sites may be included in one application.",Public Agency; Tribal Government,State,Not Required,,Reimbursement(s),2022-06-27 07:00:00,Ongoing,"October 18, 2022",https://calrecycle.ca.gov/lea/grantsloans/farmranch/,,,,,1
11270,active,2022-06-15 19:46:43,CA Department of Food and Agriculture,CDFA Beet Curly Top Virus Control Program Grants,Grant,No,"Agriculture; Science, Technology, and Research & Development","The Beet Curly Top Virus Control Program may consider funding projects, to develop new management methods for treating the beet leafhopper (BLH), the primary vector of beet curly top virus or to develop enhancements to other program areas, to mitigate the virus. Funding will be based on the researcher using no pesticide alternative or Dept. of Pesticide Regulation approved pesticides registered for use in CA on BLH and/or on rangeland/hillside.    ",The BCTV Program is soliciting proposals for research into alternatives to malathion. Projects that develop new management methods for treating the beet leafhopper. The funding will be based on the researcher using a no pesticide alternative or Department of Pesticide Regulation (DPR) approved pesticides registered for use in CA on BLH and/or on rangeland/hillside.    ,Business; Individual; Nonprofit; Public Agency; Tribal Government,State,Not Required,20000.0,Reimbursement(s),2022-06-15 07:00:00,2022-09-23 17:00:00,11/10/2022,https://www.cdfa.ca.gov/plant/IPC/curlytopvirus/docs/bctvcp_2022_rfp_guidelines.pdf,,,,,1
11243,active,2022-06-13 23:17:22,CA Energy Commission,GFO-21-402 – California Automated Permit Processing Program,Grant,No,Energy,"The purpose of this solicitation is to provide funding for California cities, counties, or cities and counties, to establish online, automated solar permitting.","Funding through CalAPP is available to all incorporated cities, counties, or cities and counties to implement an online, automated permitting platform that verifies code compliance and issues permits in real time for a solar energy system.  To meet its clean energy goals, California needs new renewable and storage resources, including rooftop solar and storage projects. Per the 2021 Senate Bill 100 Joint Agency Report, achieving 100% clean electricity in California requires an acceleration of the development of rooftop solar projects. CalAPP funding is intended to encourage cities and counties to further enhance permitting processes and accelerate processing and turnaround time, particularly regarding plan review. Overall, funding is intended to promote the development of residential solar and solar-plus-storage systems, greatly decreasing approval times, cutting permitting costs for local governments and homeowners, and helping California meet its greenhouse gas emission reduction goals through an easier installation process.",Public Agency,State,Not Required,19000000.0,Reimbursement(s),2022-06-13 07:00:00,2023-05-01 23:59:00,On going,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-402-california-automated-permit-processing-program,,,,,1
11168,active,2022-06-10 16:05:02,Governor's Office of Emergency Services,2022-23 Domestic Violence Mobile Health Care Services (FO) Program RFP,Grant,Yes,"Disaster Prevention & Relief; Health & Human Services; Law, Justice, and Legal Services","The purpose of the Program is to provide domestic violence victims/survivors and their children access to COVID-19 testing, vaccines, and primary health care through weekly mobile health care visits. To ensure all areas of California are reached, Cal OES is utilizing a regional approach where one Subrecipient coordinates services for all domestic violence shelters and programs within the identified region.","The American Rescue Plan Act of 2021 (ARP) provides funding to the Secretary of Health and Human Services (HHS) to detect, diagnose, trace, monitor and mitigate SARS-CoV-2 and COVID-19 infections, and related strategies to mitigate the spread of COVID-19.  The implementation of this supplemental funding aligns with the FVPSA definition of supportive services (45 CFR § 1370.2) and also aligns with medical advocacy and other services identified in FVPSA at 42 U.S.C. 10408(b)(1)(A)-(H).  The purpose of the Program is to provide domestic violence victims/survivors and their children access to COVID-19 testing, vaccines, and primary health care through weekly mobile health care visits. To ensure all areas of California are reached, Cal OES is utilizing a regional approach where one Subrecipient coordinates services for all domestic violence shelters and programs within the identified region.",Business; Individual; Nonprofit; Public Agency; Tribal Government,Federal,Not Required,34505575.0,Reimbursement(s),2022-06-10 15:00:00,2022-09-13 23:59:00,01/01/2023,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=FO,,,,,1
11081,active,2022-06-01 23:00:19,Governor's Office of Emergency Services,2022-23 Child Advocacy Center (KC) Program RFP,Grant,No,"Consumer Protection; Disadvantaged Communities; Health & Human Services; Law, Justice, and Legal Services","The purpose of the KC Program is for Child Advocacy Centers (CACs) to provide direct victim services to child abuse survivors and their families through a multidisciplinary team approach. These services must include victim-centered, trauma-informed forensic interviews, advocacy, direct or referral to therapy/counseling, and referrals for medical exams.","The purpose of the KC Program is for Child Advocacy Centers (CACs) to provide direct victim services to child abuse survivors and their families through a multidisciplinary team approach. These services must include victim-centered, trauma-informed forensic interviews, advocacy, direct or referral to therapy/counseling, and referrals for medical exams.",Nonprofit; Public Agency; Tribal Government,Federal,20%,8646426.0,Reimbursement(s),2022-06-01 15:00:00,2022-08-26 23:59:00,12/30/2022,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=KC,,,250000.0,1.0,1
